VENDOR	CODE	BARCODE	BARCODE_DISPLAY	NAME_KR	NAME_EN	SIZE
Hanmi	21624	087703216242	0 87703 21624 2	수라상인삼차100포	Korean Ginseng Tea in Wooden Box	30/100/3G
Hanmi	82815	087703828155	0 87703 82815 5	정관장홍삼석류Pouch	K.Red Ginseng Organic Pomegranate Pouch	6/20Pouches/50ml
Hanmi	82357	087703823570	0 87703 82357 0	정관장고려삼차	K.Red Ginseng Korea Ginseng Tea	10/60 Sticks/0.11oz
Hanmi	82358	087703823587	0 87703 82358 7	정관장POWDER PURE100	K.Red Ginseng Powder 100	30/28 Sticks/1.5G
Hanmi	82489	087703824898	0 87703 82489 8	정관장홍삼진고데일리스틱	GINSENG HONEY DAILY STICK	16/30 Sticks/0.35oz
Hanmi	82490	087703824904	0 87703 82490 4	정관장고려삼차	KOREAN GINSENG TEA	2/8/25 Sticks
Hanmi	00560	087703005600	0 87703 00560 0	김치통조림(왕)	NAPA CABBAGE KIMCHI	48/5.64OZ(160G)
Hanmi	21988	087703219885	0 87703 21988 5	볶음김치통조림(왕)	CANNED STIR-FRIED KIMCHI	12/5.64OZ(160G)
Hanmi	34428	087703344280	0 87703 34428 0	왕갓김치통조림	Mustard Leaf Kimchi	48/5.64oz
Hanmi	27232	087703272323	0 87703 27232 3	살균병김치(무첨가)	NAPA CABBAGE KIMCHI	12/7.58OZ(215G)
Hanmi	16477	087703164772	0 87703 16477 2	팥통조림(수라상)	CANNED BOILED RED BEANS	24/16.58OZ(470G)
Hanmi	02327	087703023277	0 87703 02327 7	꽁치통조림(펭귄)	CANNED PACIFIC SAURY	24/14OZ(400G)
Hanmi	04193	087703041936	0 87703 04193 6	유동골뱅이통조림	YOODONG Bai-Top Shell (Canned Whelk)	24/14oz (400G)
Hanmi	83255	087703832558	0 87703 83255 8	동원자연산골뱅이	DW Canned Whelk	24/400g
Hanmi	83246	087703832466	0 87703 83246 6	라이트스탠다드참치번들	DW Canned Tuna Chunk Style 4pk	12/150g*4
Hanmi	83247	087703832473	0 87703 83247 3	라이트스탠다드참치번들	DW Canned Tuna Chunk Style 3pk	12/250g*3
Hanmi	83248	087703832480	0 87703 83248 0	고추참치번들	DW Canned Tuna Hot Pepper 4pk	12/150g*4
Hanmi	83249	087703832497	0 87703 83249 7	동원김치찌개용참치러브	DW Canned Tuna Kimchi Soup 4pk	12/150g*4
Hanmi	83250	087703832503	0 87703 83250 3	동원매운고추참치	DW Canned Tuna D/ble Hot Pepper 4pk	12/135g*4
Hanmi	83251	087703832510	0 87703 83251 0	동원맛참고소참기름	DW Tuna Chunk Syle in Sesame Oil 4pk	20/90g*4
Hanmi	83252	087703832527	0 87703 83252 7	동원맛참매콤참기름	DW Tuna Chunk Syle in Oil Spicy 4pk	20/90g*4
Hanmi	83253	087703832534	0 87703 83253 4	동원맛참고소참기름	DW Tuna Chunk Syle in Sesame Oil 4pk	12/135g*4
Hanmi	83254	087703832541	0 87703 83254 1	동원맛참매콤참기름	DW Tuna Chunk Syle in Oil Spicy 4pk	12/135g*4
Hanmi	83501	087703835016	0 87703 83501 6	동원참치BTS진에디션	DW Canned Tuna(BTS Edition)	12/4/150g
Hanmi	83547	087703835474	0 87703 83547 4	동원김치찌개용참치150G원터치	DW Canned Tuna One Touch	48/150g
Hanmi	83548	087703835481	0 87703 83548 1	동원고추참치150G원터치	DW Canned Tuna Hot Pepper 1Touch	48/150g
Hanmi	83502	087703835023	0 87703 83502 3	동원자연산꽁치400g원터치	DW Canned Boiled Pacific Saury	24/400g
Hanmi	83503	087703835030	0 87703 83503 0	동원고등어400g원터치	DW Canned Boiled Mackerel	24/400g
Hanmi	83504	087703835047	0 87703 83504 7	동원양반단호박죽	DW Rice Porridge Cup ,Pumpkin	24/ 285 g
Hanmi	83505	087703835054	0 87703 83505 4	동원양반밤단팥죽	DW Rice Porridge Cup ,Redbean	24/285 g
Hanmi	83256	087703832565	0 87703 83256 5	둥원전복죽	DW Rice Porridge Cup Abalone	24/287.5g
Hanmi	83506	087703835061	0 87703 83506 1	동원양반백합미역국	DW Retorted Venus Clam Seaweed	20/460 g
